episode,rewards_total
1,-8.35809380186
2,-8.27361750591
3,-4.90518751055
4,-3.93656852896
5,-12.9065284838
6,-14.913181128
7,-9.48505496956
8,-14.3650878465
9,-14.9378867446
10,-8.65108336948
11,-14.4779118819
12,-15.350202186
13,-15.3793048914
14,-9.54630846392
15,-14.0099466653
16,-16.1294264459
17,-34.7409811171
18,-4.68610009937
19,-9.76530654056
20,-44.6222635591
21,22.1775297151
22,-38.9385447074
23,-49.4600210994
24,-46.2670895029
25,-50.7003325494
26,-39.761860271
27,-11.8255179665
28,-17.4064933602
29,-17.0037726958
30,-5.90755061293
31,-13.7465112545
32,-16.5497284137
33,-19.7695897823
34,-13.4764843962
35,-9.89660813189
36,-16.9773086241
37,-18.417031585
38,-9.13975848589
39,-17.4075989622
40,-29.5533654891
41,-9.71488647666
42,-22.987761646
43,-36.5445843813
44,-34.2227834859
45,-7.36013368842
46,-16.2153678972
47,-27.250394813
48,-38.2321922549
49,-25.0040076921
50,-1.09494417679
51,-24.3500828825
52,-8.93877327513
53,-27.703920481
54,-29.1244213238
55,2.79235359827
56,-113.939621768
57,-23.1312812297
58,-14.4447889812
59,-94.0155740035
60,-66.0757154851
61,-23.6141513101
62,-26.106312128
63,-15.6608803554
64,-24.5711574404
65,-34.1089194729
66,-14.1857146747
67,0.900294229571
68,-25.9739459326
69,-2.0488720387
70,-7.75585998372
71,-90.6190991812
72,-42.5516458788
73,-18.5130379953
74,-36.6348700985
75,-20.3963013629
76,-49.3333948259
77,-102.154085262
78,-78.0101008437
79,-36.0431966107
80,-9.22506265384
81,-17.5114143025
82,-2.88949940621
83,-44.2091999829
84,-9.99938312779
85,-52.0542275023
86,-9.97594280316
87,-13.0475723608
88,-22.8425118116
89,-8.19376163049
90,-20.1000955248
91,-17.6010838521
92,-9.09360402576
93,-14.6613748233
94,-11.7132026634
95,-24.3814509899
96,-26.3157459111
97,-8.02631719742
98,-47.0851570283
99,-18.633587213
100,-175.448665383
101,-174.688790795
102,-174.296372813
103,-129.968355496
104,-174.052700484
105,-172.562488206
106,-175.185428055
107,-9.31730493818
108,-8.67761112644
109,-0.0859181141974
110,-15.0906359924
111,-11.4049417838
112,-175.507882825
113,-174.927134821
114,-172.687398155
115,-174.269677546
116,-174.769206289
117,-155.569511213
118,-172.593709205
119,-175.443773331
120,-173.478467962
121,-152.296227821
122,-174.707937019
123,-175.995763528
124,-174.861370315
125,-124.080412937
126,-172.843823504
127,-173.142802216
128,-175.215761737
129,-153.085599932
130,-175.34376455
131,-155.596756838
132,-146.965647807
133,-172.78078753
134,-172.427047981
135,-173.567560211
136,-175.037287142
137,-173.593470782
138,-172.369371032
139,-173.457501634
140,-173.874098349
141,-175.231731008
142,-174.407108396
143,-173.743271806
144,-176.017983519
145,-172.729187087
146,-175.242146396
147,-173.373991544
148,-173.39854838
149,-174.007803815
150,-152.774097913
151,-174.179710898
152,2.87970955996
153,-212.822466102
154,-212.821954292
155,-203.899026894
156,-212.79410931
157,-212.875892715
158,-212.835217853
159,-212.855041526
160,-212.804145291
161,-212.828050339
162,-212.837023598
163,-212.798351178
164,-212.849334378
165,-212.80261003
166,-212.784572531
167,-212.892105449
168,-197.792624059
169,-212.900608618
170,-212.920515148
171,-212.903923988
172,-212.837518102
173,-212.855523421
174,-212.823198172
175,-212.85039531
176,-212.857183007
177,-212.791093999
178,-212.855272873
179,-212.893745673
180,-212.826459663
181,-212.883291007
182,-212.894773774
183,-212.795524082
184,-212.833808002
185,-212.858051429
186,-212.864062187
187,-212.801064533
188,-212.808257532
189,-213.003977092
190,-212.887241247
191,-212.827119836
192,-212.824420087
193,-212.811712938
194,-212.81754281
195,-212.813204529
196,-212.877605623
197,-212.814762249
198,-212.857213959
199,-212.8538579
200,-212.866531922
201,-212.842062345
202,-212.857445735
203,-212.830578348
204,-212.834201676
205,-212.892773723
206,-212.917982435
207,-212.911305681
208,-212.784230375
209,-179.823361431
210,-212.824520969
211,-212.774302885
212,-212.910931747
213,-212.835321202
214,-206.805816023
215,-212.825352229
216,-212.844651398
217,-212.843854504
218,-212.819159136
219,-212.798699141
220,-212.824704695
221,-176.946874406
222,-212.839431837
223,-212.811433735
224,-212.846261656
225,-212.783870343
226,-212.868643085
227,-212.818040085
228,-212.776892793
229,-212.840877945
230,-212.799711897
231,-212.828082712
232,-212.846521642
233,-212.901916202
234,-212.813941881
235,-212.802517662
236,-212.8628033
237,-212.876436165
238,-212.850665835
239,-212.873129978
240,-212.853555456
241,-212.81345696
242,-182.868711379
243,-182.814814026
244,-212.782851845
245,-212.864653593
246,-212.837960359
247,-212.827816848
248,-212.819920135
249,-212.93549828
250,-212.795312287
251,-212.881859735
252,-212.910250757
253,-212.824675344
254,-212.881127445
255,-212.834665309
256,-212.859388546
257,-212.881431867
258,-212.880086844
259,-212.857990636
